Model_ID,Batch_Size,Seq_Length,Offset,D_Model,N_Head,FF_Dim,Num_Layers,Kernel_Size,Model_File,Log_File,Test_Accuracy
97b0700d-2f69-40dd-a86c-2d32dfdcdd4b,6,14,1,16,2,16,2,1,model_97b0700d-2f69-40dd-a86c-2d32dfdcdd4b.pt,training_log_97b0700d-2f69-40dd-a86c-2d32dfdcdd4b.txt,0.9027777777777778
d6fe12e0-4738-4f26-b5e9-2068849ceed9,6,14,1,16,2,16,2,3,model_d6fe12e0-4738-4f26-b5e9-2068849ceed9.pt,training_log_d6fe12e0-4738-4f26-b5e9-2068849ceed9.txt,0.9027777777777778
b852205c-3bfb-46c8-a22e-d1fe3d90692b,6,14,1,16,2,16,3,1,model_b852205c-3bfb-46c8-a22e-d1fe3d90692b.pt,training_log_b852205c-3bfb-46c8-a22e-d1fe3d90692b.txt,0.875
87c2c7f5-1553-427c-bb35-592e032fd33d,6,14,1,16,2,16,3,3,model_87c2c7f5-1553-427c-bb35-592e032fd33d.pt,training_log_87c2c7f5-1553-427c-bb35-592e032fd33d.txt,0.9027777777777778
a3f10520-fbff-481d-991b-377aecbcb5ef,6,14,1,16,2,32,2,1,model_a3f10520-fbff-481d-991b-377aecbcb5ef.pt,training_log_a3f10520-fbff-481d-991b-377aecbcb5ef.txt,0.9027777777777778
8dd2fc67-2277-4285-83b2-98bda70d83e9,6,14,1,16,2,32,2,3,model_8dd2fc67-2277-4285-83b2-98bda70d83e9.pt,training_log_8dd2fc67-2277-4285-83b2-98bda70d83e9.txt,0.9166666666666666
a002a115-63ce-4c38-a190-9a2cdeb27b10,6,14,1,16,2,32,3,1,model_a002a115-63ce-4c38-a190-9a2cdeb27b10.pt,training_log_a002a115-63ce-4c38-a190-9a2cdeb27b10.txt,0.9444444444444444
d2093a34-f389-4077-818a-9f9074da6093,6,14,1,16,2,32,3,3,model_d2093a34-f389-4077-818a-9f9074da6093.pt,training_log_d2093a34-f389-4077-818a-9f9074da6093.txt,0.9305555555555556
658356d3-8168-479f-907d-9e64e7d5d753,6,14,1,16,4,16,2,1,model_658356d3-8168-479f-907d-9e64e7d5d753.pt,training_log_658356d3-8168-479f-907d-9e64e7d5d753.txt,0.9027777777777778
08e22977-49c4-481b-898d-7c644edc4541,6,14,1,16,4,16,2,3,model_08e22977-49c4-481b-898d-7c644edc4541.pt,training_log_08e22977-49c4-481b-898d-7c644edc4541.txt,0.9027777777777778
3eaf5e07-3d8f-4fad-91ab-446b5534b1e7,6,14,1,16,4,16,3,1,model_3eaf5e07-3d8f-4fad-91ab-446b5534b1e7.pt,training_log_3eaf5e07-3d8f-4fad-91ab-446b5534b1e7.txt,0.9166666666666666
414e5cad-5639-45cb-a2be-1abb18b9ef60,6,14,1,16,4,16,3,3,model_414e5cad-5639-45cb-a2be-1abb18b9ef60.pt,training_log_414e5cad-5639-45cb-a2be-1abb18b9ef60.txt,0.8888888888888888
a4473d0f-32d8-4890-9da3-788cc3f26f05,6,14,1,16,4,32,2,1,model_a4473d0f-32d8-4890-9da3-788cc3f26f05.pt,training_log_a4473d0f-32d8-4890-9da3-788cc3f26f05.txt,0.9305555555555556
